timestamp,pod,cpu_usage(m),memory_usage(Mi)
2023-11-22 03:34:45,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:45,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:45,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:45,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:45,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:45,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:45,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:45,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:45,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:45,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:45,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:46,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:46,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:46,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:46,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:46,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:46,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:46,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:46,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:46,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:46,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:46,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:46,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:46,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:46,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:47,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:47,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:47,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:47,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:47,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:47,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:47,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:47,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:47,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:47,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:47,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:47,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:47,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:47,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:48,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:48,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:48,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:48,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:48,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:48,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:48,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:48,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:48,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:48,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:48,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:48,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:48,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:48,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:49,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:49,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:49,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:49,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:49,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:49,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:49,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:49,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:49,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:49,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:49,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:49,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:49,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:49,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:50,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:50,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:50,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:50,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:50,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:50,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:50,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:50,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:50,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:50,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:50,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:50,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:50,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:50,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:51,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:51,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:51,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:51,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:51,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:51,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:51,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:51,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:51,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:51,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:51,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:51,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:51,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:51,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:52,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:52,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:52,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:52,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:52,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:52,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:52,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:52,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:52,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:52,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:52,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:52,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:52,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:52,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:53,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:53,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:53,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:53,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:53,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:53,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:53,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:53,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:53,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:53,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:53,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:53,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:53,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:53,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:54,carts-5bb979cb6d-zdvn9,6,438
2023-11-22 03:34:54,carts-db-98ff4cbc7-qrqpw,7,345
2023-11-22 03:34:54,catalogue-7c89c4b8b7-wqpl2,2,69
2023-11-22 03:34:54,catalogue-db-6d76c95d76-zgzr9,4,319
2023-11-22 03:34:54,front-end-5d7b595bcd-kh446,6,446
2023-11-22 03:34:54,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:54,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:54,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:54,queue-master-78b6f85bb7-dbmqf,5,345
2023-11-22 03:34:54,rabbitmq-cbfd4b9db-rsrk7,13,165
2023-11-22 03:34:54,session-db-9dc55b5b-2qmdw,3,44
2023-11-22 03:34:54,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:54,user-5c8d59bcd4-24rqf,5,192
2023-11-22 03:34:54,user-db-758477f574-w5dn9,8,504
2023-11-22 03:34:55,carts-5bb979cb6d-zdvn9,27,440
2023-11-22 03:34:55,carts-db-98ff4cbc7-qrqpw,21,345
2023-11-22 03:34:55,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:55,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:55,front-end-5d7b595bcd-kh446,76,450
2023-11-22 03:34:55,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:55,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:55,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:55,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:55,rabbitmq-cbfd4b9db-rsrk7,14,165
2023-11-22 03:34:55,session-db-9dc55b5b-2qmdw,13,44
2023-11-22 03:34:55,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:55,user-5c8d59bcd4-24rqf,163,195
2023-11-22 03:34:55,user-db-758477f574-w5dn9,11,504
2023-11-22 03:34:56,carts-5bb979cb6d-zdvn9,27,440
2023-11-22 03:34:56,carts-db-98ff4cbc7-qrqpw,21,345
2023-11-22 03:34:56,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:56,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:56,front-end-5d7b595bcd-kh446,76,450
2023-11-22 03:34:56,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:56,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:56,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:56,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:56,rabbitmq-cbfd4b9db-rsrk7,14,165
2023-11-22 03:34:56,session-db-9dc55b5b-2qmdw,13,44
2023-11-22 03:34:56,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:56,user-5c8d59bcd4-24rqf,163,195
2023-11-22 03:34:56,user-db-758477f574-w5dn9,11,504
2023-11-22 03:34:57,carts-5bb979cb6d-zdvn9,27,440
2023-11-22 03:34:57,carts-db-98ff4cbc7-qrqpw,21,345
2023-11-22 03:34:57,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:57,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:57,front-end-5d7b595bcd-kh446,76,450
2023-11-22 03:34:57,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:57,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:57,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:57,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:57,rabbitmq-cbfd4b9db-rsrk7,14,165
2023-11-22 03:34:57,session-db-9dc55b5b-2qmdw,13,44
2023-11-22 03:34:57,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:57,user-5c8d59bcd4-24rqf,163,195
2023-11-22 03:34:57,user-db-758477f574-w5dn9,11,504
2023-11-22 03:34:58,carts-5bb979cb6d-zdvn9,27,440
2023-11-22 03:34:58,carts-db-98ff4cbc7-qrqpw,21,345
2023-11-22 03:34:58,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:58,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:58,front-end-5d7b595bcd-kh446,76,450
2023-11-22 03:34:58,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:58,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:58,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:58,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:58,rabbitmq-cbfd4b9db-rsrk7,14,165
2023-11-22 03:34:58,session-db-9dc55b5b-2qmdw,13,44
2023-11-22 03:34:58,shipping-78db6c6958-zxb5v,3,243
2023-11-22 03:34:58,user-5c8d59bcd4-24rqf,163,195
2023-11-22 03:34:58,user-db-758477f574-w5dn9,11,504
2023-11-22 03:34:59,carts-5bb979cb6d-zdvn9,27,440
2023-11-22 03:34:59,carts-db-98ff4cbc7-qrqpw,21,345
2023-11-22 03:34:59,catalogue-7c89c4b8b7-wqpl2,3,69
2023-11-22 03:34:59,catalogue-db-6d76c95d76-zgzr9,3,319
2023-11-22 03:34:59,front-end-5d7b595bcd-kh446,76,450
2023-11-22 03:34:59,orders-d5f745cc6-4qnrb,5,438
2023-11-22 03:34:59,orders-db-c6897fc87-lmpxx,5,85
2023-11-22 03:34:59,payment-66d9c6c5c8-l4rkq,4,56
2023-11-22 03:34:59,queue-master-78b6f85bb7-dbmqf,4,345
2023-11-22 03:34:59,rabbitmq-cbfd4b9db-rsrk7,14,165
2023-11-22 03:34:59,session-db-9dc55b5b-2qmdw,13,44
2023-11-22 03:34:59,shipping-78db6c6958-zxb5v,3,243
